country,region,price_index,affordability_index,cluster_id,silhouette_score,cluster_label
Switzerland,Europe,1.2677204692167576,,0,0.4745439704055752,Premium Markets
Austria,Europe,1.164171102165569,0.0035662273651846,0,0.4745439704055752,Premium Markets
United States,North America,1.1677701000438856,0.002471082390067,0,0.4745439704055752,Premium Markets
Norway,Europe,1.183812338719767,,0,0.4745439704055752,Premium Markets
Belgium,Europe,1.1254786615427492,0.0035428103462967,0,0.4745439704055752,Premium Markets
Denmark,Europe,1.0910370753781484,0.0029989039032086,0,0.4745439704055752,Premium Markets
Finland,Europe,1.0917634599261132,0.0034811796321208,0,0.4745439704055752,Premium Markets
Germany,Europe,1.103638171158562,0.0034468211320452,0,0.4745439704055752,Premium Markets
Ireland,Europe,1.016149925170676,0.0018397812238306,0,0.4745439704055752,Premium Markets
Italy,Europe,1.0250488452320832,0.0051781808715045,0,0.4745439704055752,Premium Markets
France,Europe,1.0888487698233262,0.0035618250008727,0,0.4745439704055752,Premium Markets
Spain,Europe,0.9406447071646926,0.0051696516322735,0,0.4745439704055752,Premium Markets
Australia,Oceania,0.9682598318416528,0.0025752374160346,0,0.4745439704055752,Premium Markets
Sweden,Europe,0.9891768221313264,0.0028116419096088,0,0.4745439704055752,Premium Markets
Netherlands,Europe,0.9898035067992724,0.0030100020353901,0,0.4745439704055752,Premium Markets
United Kingdom,Europe,1.002188361960636,0.0033873068569841,0,0.4745439704055752,Premium Markets
Czech_Republic,Other,0.8968379315471425,,0,0.4745439704055752,Premium Markets
Slovakia,Europe,0.9196874513989868,0.0066547429398337,0,0.4745439704055752,Premium Markets
Poland,Europe,0.919256285314623,0.0082621361605973,0,0.4745439704055752,Premium Markets
Croatia,Europe,0.9063947666397218,0.0082786773866847,0,0.4745439704055752,Premium Markets
Hungary,Europe,0.92786939322329,0.0086910974472562,0,0.4745439704055752,Premium Markets
Portugal,Europe,0.9278761664231304,0.0058085846599687,0,0.4745439704055752,Premium Markets
Canada,North America,0.9256922983893252,0.0030255910295895,0,0.4745439704055752,Premium Markets
Slovenia,Europe,0.8817532622774906,0.0046929187505734,0,0.4745439704055752,Premium Markets
Romania,Europe,0.8415166957845382,0.0098114862805123,0,0.4745439704055752,Premium Markets
Japan,Asia,0.7511609317222956,0.0038468687177025,0,0.4745439704055752,Premium Markets
Morocco,Africa,1.3875886582120491,0.0656474029742531,1,0.4745439704055752,Premium Markets
Egypt,Africa,1.5314782175484043,0.0683049861155123,1,0.4745439704055752,Premium Markets
Qatar,Middle East,0.9549221483681484,0.0016714379168678,2,0.4745439704055752,Emerging Markets
Saudi_Arabia,Other,1.0707429367127563,,2,0.4745439704055752,Emerging Markets
Jordan,Middle East,1.284328212578106,,2,0.4745439704055752,Emerging Markets
Kuwait,Middle East,1.0501578240844802,0.0021004162109355,2,0.4745439704055752,Emerging Markets
Bahrain,Middle East,0.8965178938038686,0.0028530971337783,2,0.4745439704055752,Emerging Markets
Oman,Middle East,0.9158157172308968,0.0064443826301605,2,0.4745439704055752,Emerging Markets
United Arab Emirates,Middle East,0.917269097931493,0.003179292591743,2,0.4745439704055752,Emerging Markets
Philippines,Asia,0.8385753848682064,0.039673354123308,2,0.4745439704055752,Emerging Markets
Singapore,Asia,0.8398970244380017,0.0022190199108689,3,0.4745439704055752,Niche Markets
South_Korea,Other,0.7740579319570419,,3,0.4745439704055752,Niche Markets
Thailand,Asia,0.7437381828379993,0.0184015618914796,3,0.4745439704055752,Niche Markets
India,Asia,0.6830142269276992,0.0452045269629927,3,0.4745439704055752,Niche Markets
Malaysia,Asia,0.682681494653966,0.0099374119435538,3,0.4745439704055752,Niche Markets
